epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,415.396,1.09386,0.73125,1.27457,0.57563,0.728,0.50985,0.21541,1.77101,2.24627,1.88379,0.000225712,0.000225712,0.000225712
133,417.916,1.31765,0.91799,1.40598,0.57563,0.728,0.50985,0.21541,1.77101,2.24627,1.88379,0.00021471,0.00021471,0.00021471
134,420.35,1.28468,0.89545,1.38091,0.58121,0.728,0.51224,0.22006,1.73335,2.23509,1.85495,0.000203707,0.000203707,0.000203707
135,422.762,1.09617,0.96785,1.38773,0.56557,0.736,0.50935,0.22704,1.69548,2.23431,1.82243,0.000192705,0.000192705,0.000192705
136,425.201,1.14459,0.77683,1.3303,0.56228,0.776,0.50917,0.23379,1.66893,2.25959,1.80809,0.000181703,0.000181703,0.000181703
137,427.952,1.23454,0.88209,1.44361,0.56228,0.776,0.50917,0.23379,1.66893,2.25959,1.80809,0.000170701,0.000170701,0.000170701
138,430.775,1.24551,0.93228,1.54038,0.55385,0.744,0.51171,0.23919,1.66347,2.2553,1.80514,0.000159699,0.000159699,0.000159699
139,433.36,1.10603,0.80262,1.36763,0.56309,0.74235,0.51247,0.2403,1.66696,2.25832,1.81591,0.000148696,0.000148696,0.000148696
140,435.731,1.07732,0.78594,1.25811,0.57736,0.744,0.50689,0.23717,1.67432,2.23975,1.83767,0.000137694,0.000137694,0.000137694
141,444.614,0.99151,0.79341,1.24326,0.57736,0.744,0.50689,0.23717,1.67432,2.23975,1.83767,0.000126692,0.000126692,0.000126692
142,447.078,1.34622,1.29219,1.52883,0.5651,0.728,0.50573,0.23235,1.69177,2.26641,1.87839,0.00011569,0.00011569,0.00011569
143,449.477,0.9486,1.02994,1.29262,0.57993,0.704,0.50531,0.23017,1.71153,2.30515,1.92186,0.000104688,0.000104688,0.000104688
144,451.819,0.765,0.92462,1.23023,0.55644,0.712,0.4971,0.22445,1.7273,2.31843,1.9693,9.36854e-05,9.36854e-05,9.36854e-05
145,454.28,0.89973,0.66655,1.17441,0.55644,0.712,0.4971,0.22445,1.7273,2.31843,1.9693,8.26832e-05,8.26832e-05,8.26832e-05
146,456.594,0.92703,0.66908,1.24938,0.55352,0.72,0.49513,0.22025,1.74429,2.33849,2.00023,7.1681e-05,7.1681e-05,7.1681e-05
147,458.977,0.84876,0.68288,1.16687,0.53452,0.744,0.49837,0.21585,1.76747,2.33815,2.02581,6.06788e-05,6.06788e-05,6.06788e-05
148,461.344,0.7525,0.72436,1.31346,0.52962,0.752,0.50663,0.21581,1.76018,2.34549,2.01045,4.96766e-05,4.96766e-05,4.96766e-05
149,463.677,1.12606,0.65928,1.27818,0.52962,0.752,0.50663,0.21581,1.76018,2.34549,2.01045,3.86744e-05,3.86744e-05,3.86744e-05
150,465.963,0.81172,0.65305,1.2732,0.55363,0.728,0.50448,0.21543,1.76754,2.36624,2.01327,2.76722e-05,2.76722e-05,2.76722e-05
